Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Precipitable Water,Label
139,791,3,17.0,381,170,517,0.347,67.52,36.82,0.14,2.3000000000000003,189.69547484747818
143,968,0,16.6,143,869,968,0.347,62.870000000000005,18.4,0.14,2.3000000000000003,845.4663855613471
137,803,3,16.5,356,351,644,0.328,55.42,34.92,0.14,3.0,314.8444949863631
211,769,0,18.2,211,680,769,0.329,61.22,34.89,0.14,3.3000000000000003,700.0012921858462
118,290,0,18.5,118,465,290,0.332,69.05,68.34,0.14,2.9000000000000004,474.2243057200487
67,122,1,18.8,67,292,122,0.333,75.3,79.08,0.14,2.8000000000000003,289.8868860513784
153,774,0,18.0,153,777,774,0.326,60.91,36.95,0.14,2.7,793.2053443681364
162,883,0,17.3,162,807,883,0.325,55.47,26.71,0.14,2.7,809.6861460815171
147,432,3,19.3,215,164,299,0.328,72.91,59.39,0.14,3.5,127.38025305477436
129,775,0,17.7,129,810,775,0.316,60.15,37.06,0.14,3.2,814.7086035777177
116,961,0,18.9,116,896,961,0.319,63.89,19.32,0.14,2.7,885.173915697606
53,133,0,18.7,53,420,133,0.323,77.13,79.0,0.14,2.8000000000000003,410.2182923558908
10,11,0,19.200000000000003,10,44,11,0.323,84.5,88.84,0.14,2.7,45.967571714197504
167,953,0,18.3,167,834,953,0.278,46.99,19.65,0.14,2.0,820.89007256402
135,828,0,17.7,135,843,828,0.28,44.91,34.79,0.14,1.7000000000000002,859.6272202749639
121,687,0,17.8,121,812,687,0.28,46.58,45.76,0.14,1.6,835.0332352747328
95,458,0,21.4,95,725,458,0.283,70.97,59.91,0.14,2.1,715.935588791493
149,767,0,22.6,149,781,767,0.29,72.77,37.62,0.14,2.7,798.6939687830691
111,839,0,14.6,111,887,839,0.312,55.53,34.87,0.14,1.7000000000000002,897.2643206175468
111,829,0,15.9,111,875,829,0.316,57.95,34.910000000000004,0.14,2.1,880.4121495992231
170,871,0,16.8,170,792,871,0.305,59.02,27.78,0.14,2.8000000000000003,801.1041725940861
103,499,0,17.5,103,735,499,0.3,57.79,57.4,0.14,2.1,746.538749975656
144,652,0,16.7,144,736,652,0.321,63.83,46.34,0.14,2.7,745.7845420038526
43,60,0,18.1,43,156,60,0.304,80.01,83.60000000000001,0.14,2.8000000000000003,196.22609645014228
157,923,0,18.6,157,828,923,0.306,63.26,22.37,0.15,2.9000000000000004,812.5298288933504
107,480,0,18.1,107,707,480,0.305,65.61,58.15,0.15,2.6,700.4655166808038
144,924,0,18.2,144,845,924,0.302,53.76,22.75,0.15,2.9000000000000004,834.629281713334
134,790,0,18.0,134,815,790,0.301,52.51,36.39,0.15,2.8000000000000003,822.3335090969272
185,424,3,21.0,210,256,343,0.308,69.69,58.9,0.15,4.3,189.13656183744092
98,659,0,16.8,98,843,659,0.301,59.74,48.31,0.15,1.8,842.3031812005333
69,211,0,19.0,69,534,211,0.295,72.46000000000001,74.55,0.15,2.0,504.6708099775768
208,877,4,19.8,448,166,598,0.29,58.6,25.18,0.14,3.2,191.0831638845271
210,859,0,20.8,210,721,859,0.306,60.370000000000005,25.93,0.14,4.2,726.6282889191014
184,681,0,22.1,184,671,681,0.296,64.57000000000001,42.24,0.14,4.0,698.8821292911874
47,59,0,23.200000000000003,47,100,59,0.292,84.18,83.08,0.14,4.0,158.53976692972117
22,24,0,24.3,22,46,24,0.282,94.32,86.43,0.14,3.9,63.80424667411694
202,675,3,23.4,154,1,155,0.281,72.98,42.42,0.14,4.0,4.262531462265713
241,854,3,23.0,224,10,233,0.282,70.44,25.47,0.14,4.1000000000000005,10.014096589056976
185,679,3,21.200000000000003,244,15,255,0.277,65.86,42.59,0.14,4.0,19.575259023251817
169,393,3,20.6,194,63,225,0.278,71.46000000000001,61.18,0.14,4.0,81.32176354970238
152,532,0,20.6,152,639,532,0.269,71.29,53.48,0.14,3.6,658.3357076937519
165,835,2,19.8,408,250,622,0.272,60.67,31.08,0.14,3.4000000000000004,233.76318807797682
130,876,0,17.6,130,877,876,0.271,48.36,31.64,0.14,1.6,878.2049361398159
19,23,0,20.3,19,86,23,0.277,85.39,87.24,0.14,2.1,67.20429912521416
186,854,0,20.0,186,756,854,0.289,63.88,27.9,0.14,4.0,760.1901425906008
155,508,7,21.4,247,79,293,0.291,73.42,54.65,0.15,4.2,102.83285185490212
