Temperature,Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
13.5,36,47,0,13.0,36,124,0,47,0.35,96.71,84.74,0.14,1012,2.0,82,2.5,129.78164532102494
18.6,143,396,7,14.1,168,21,0,177,0.369,75.23,62.38,0.14,1010,2.5,33,2.1,31.89251202434474
14.2,37,45,0,13.6,37,87,0,45,0.376,95.98,84.55,0.14,1007,2.4000000000000004,252,1.7000000000000002,108.3955718418556
15.9,123,411,6,12.4,161,13,0,167,0.416,79.88,62.22,0.14,1008,2.2,294,1.9,21.073799986795052
20.700000000000003,138,881,0,12.9,138,864,0,881,0.346,60.870000000000005,30.71,0.15,1002,2.1,249,3.0,857.06027760865
17.8,172,589,0,13.2,172,658,0,589,0.343,74.65,50.6,0.15,1003,2.4000000000000004,98,2.1,666.9969625369623
17.3,134,620,2,12.8,284,252,0,448,0.356,75.06,49.64,0.16,1018,2.2,22,3.9,223.68985560277238
18.1,163,886,2,12.9,424,115,0,524,0.357,71.57000000000001,29.3,0.16,1019,2.0,14,3.9,133.59933256390502
15.5,43,77,0,12.3,43,280,0,77,0.362,81.41,82.93,0.16,1020,1.8,40,3.2,266.37769665773317
16.400000000000002,112,660,7,8.9,281,291,1,471,0.365,61.05,49.120000000000005,0.15,1012,1.0,40,6.800000000000001,307.91872016309844
18.6,115,928,2,9.5,348,456,0,749,0.366,55.57,28.38,0.16,1010,1.3,301,1.2000000000000002,426.1686361012976
18.3,123,924,0,11.4,123,906,0,924,0.361,63.91,27.87,0.16,1015,1.5,25,1.3,907.3096732901455
17.1,50,101,0,13.9,50,328,0,101,0.358,81.46000000000001,81.11,0.16,1015,2.5,39,4.4,319.45838087882476
17.900000000000002,91,272,0,15.3,91,541,0,272,0.346,84.82000000000001,70.51,0.15,1014,2.1,226,3.8,551.4395496260827
19.1,116,463,2,15.0,212,216,0,322,0.345,77.21000000000001,59.34,0.15,1014,2.1,233,3.8,195.59235445949895
20.700000000000003,58,99,1,15.8,58,256,0,99,0.346,73.71000000000001,80.75,0.15,1013,2.9000000000000004,221,1.9,256.36373433043195
23.8,140,448,0,16.7,140,593,0,448,0.325,64.43,58.72,0.15,1013,3.4000000000000004,337,0.9,605.9485501967013
22.9,125,261,7,17.7,130,220,0,206,0.331,72.72,69.78,0.15,1013,3.4000000000000004,159,0.9,143.1200447962999
24.4,193,754,0,17.900000000000002,193,702,0,754,0.327,67.13,36.89,0.15,1012,3.6,90,1.2000000000000002,728.434429114157
23.6,183,615,1,17.8,183,636,0,615,0.326,70.17,47.24,0.15,1011,3.7,31,3.0,636.9404333509406
20.3,134,467,4,15.8,160,2,0,161,0.352,75.32000000000001,57.96,0.15,1009,3.0,328,3.0,8.933751797959133
22.0,124,912,2,15.0,432,239,0,646,0.344,64.37,26.53,0.14,1012,2.2,43,5.2,255.14382301870458
21.3,163,896,3,14.6,446,192,3,620,0.352,65.46000000000001,25.11,0.14,1007,2.9000000000000004,181,2.0,195.44386106693128
21.3,152,798,4,14.4,221,10,0,229,0.353,64.67,35.06,0.14,1007,2.8000000000000003,16,2.1,-3.5140892647299893
23.3,139,791,3,17.0,381,170,0,517,0.347,67.52,36.82,0.14,1011,2.3000000000000003,9,2.8000000000000003,195.03727722012223
24.1,143,968,0,16.6,143,869,0,968,0.347,62.870000000000005,18.4,0.14,1011,2.3000000000000003,5,2.6,847.2860202892762
26.1,137,803,3,16.5,356,351,0,644,0.328,55.42,34.92,0.14,1010,3.0,338,0.8,315.4432684266709
26.3,211,769,0,18.2,211,680,0,769,0.329,61.22,34.89,0.14,1012,3.3000000000000003,349,1.6,697.759491575143
24.6,118,290,0,18.5,118,465,0,290,0.332,69.05,68.34,0.14,1012,2.9000000000000004,24,1.8,473.3631527391325
23.4,67,122,1,18.8,67,292,0,122,0.333,75.3,79.08,0.14,1012,2.8000000000000003,36,1.7000000000000002,289.458414756171
26.1,153,774,0,18.0,153,777,0,774,0.326,60.91,36.95,0.14,1014,2.7,269,0.8,793.5673876498959
